~id,~label,~from,~to,start_time:string,end_time:string,duration:string,caller_location:string,callee_location:string,cost:float,service_provider_id:string,billing_indicator:string,call_status:string,rate_plan:string,currency:string,caller_state:string,callee_state:string,caller_zipcode:string,callee_zipcode:string,caller_latitude:float,caller_long:float,callee_latitude:float,callee_long:float,caller_country:string,callee_country:string
3413439,sms,1011231004,1011231005,2024-08-15 09:25:07.677410,2024-08-15 09:40:41.677410,0:15:34,Bremond,Beards Fork,2.7,SP001,Non-Billable,Missed,Go5GNext,USD,Texas,West Virginia,76629,25173,31.1657,-96.676,38.0645,-81.2279,United States,United States
2541487,voice,1011231019,1011231012,2024-08-15 09:46:07.851268,2024-08-15 10:05:11.851268,0:19:04,Nekoma,Beedeville,1.67,SP001,Non-Billable,Missed,Go5GNext,USD,North Dakota,Arkansas,58355,72101,48.5763,-98.3755,35.4292,-91.1107,United States,United States
9481343,sms,1011231013,1011231008,2024-08-15 09:32:08.023890,2024-08-15 09:37:11.023890,0:05:03,Ewing,Ozawkie,3.5,SP002,Billable,Failed,Go5GPlus,USD,Kentucky,Kansas,41039,66070,38.4278,-83.8619,39.2354,-95.4659,United States,United States
1562139,sms,1011231003,1011231000,2024-08-15 09:19:08.160562,2024-08-15 10:11:25.160562,0:52:17,Naturita,Bear River,4.32,SP003,Billable,Answered,Essentials,USD,Colorado,Wyoming,81422,82930,38.2183,-108.5665,41.3858,-111.0271,United States,United States
3068325,sms,1011231016,1011231007,2024-08-15 10:02:08.290342,2024-08-15 10:20:50.290342,0:18:42,Buckland,Long,2.75,SP001,Billable,Missed,EssentialsSaver,USD,Ohio,Oklahoma,45895,74948,40.6235,-84.2599,35.4993,-94.547,United States,United States
7867430,sms,1011231001,1011231016,2024-08-15 09:48:08.423439,2024-08-15 10:12:49.423439,0:24:41,Waelder,Avard,3.32,SP002,Non-Billable,Missed,EssentialsSaver,USD,Texas,Oklahoma,78959,73717,29.6943,-97.2972,36.6973,-98.7893,United States,United States
6704685,sms,1011231005,1011231004,2024-08-15 09:51:08.579194,2024-08-15 10:43:15.579194,0:52:07,Truman,Casstown,1.18,SP002,Billable,Answered,Go5G,USD,Minnesota,Ohio,56088,45312,43.8279,-94.4366,40.0528,-84.1285,United States,United States
9638921,sms,1011231010,1011231015,2024-08-15 09:27:08.709690,2024-08-15 10:03:27.709690,0:36:19,San Antonio,Wardell,4.85,SP002,Non-Billable,Failed,Go5GPlus,USD,New Mexico,Missouri,87832,63879,33.9161,-106.87,36.3539,-89.817,United States,United States
4716787,voice,1011231018,1011231002,2024-08-15 10:07:08.849899,2024-08-15 11:05:38.849899,0:58:30,Mississippi State,Camp Point,0.77,SP004,Billable,Answered,EssentialsSaver,USD,Mississippi,Illinois,39762,62320,33.4516,-88.7912,40.0383,-91.0664,United States,United States
3512857,sms,1011231018,1011231018,2024-08-15 09:29:08.980945,2024-08-15 09:42:10.980945,0:13:02,Gladstone,Arctic Village,4.25,SP003,Billable,Answered,Go5G,USD,Illinois,Alaska,61437,99722,40.8643,-90.9566,68.1421,-145.4956,United States,United States
6441421,sms,1011231015,1011231009,2024-08-15 09:40:09.111197,2024-08-15 10:06:54.111197,0:26:45,Wayne,Catalina Foothills,0.16,SP002,Non-Billable,Failed,Go5G,USD,Oklahoma,Arizona,73095,85728,34.917,-97.3166,32.3046,-110.8838,United States,United States
7757391,voice,1011231004,1011231015,2024-08-15 09:48:09.250160,2024-08-15 10:08:12.250160,0:20:03,Wilberforce,Plantation Island,4.51,SP003,Billable,Answered,Go5GNext,USD,Ohio,Florida,45385,34139,39.7151,-83.8847,25.8475,-81.3757,United States,United States
7572781,voice,1011231005,1011231004,2024-08-15 09:37:09.376955,2024-08-15 10:07:48.376955,0:30:39,Richards,Whispering Pines,0.26,SP003,Non-Billable,Missed,Go5GNext,USD,Texas,Arizona,77873,85541,30.5366,-95.8462,34.3728,-111.2813,United States,United States
4802618,sms,1011231003,1011231022,2024-08-15 09:36:09.504467,2024-08-15 10:32:50.504467,0:56:41,Fort Pierce North,Forest River,2.19,SP001,Billable,Answered,Go5G,USD,Florida,North Dakota,34947,58233,27.4736,-80.3595,48.2166,-97.4703,United States,United States
