~id,~label,phone_number:string,city:string,state:string,zipcode:string,country:string,birthdate:string,plan_start_dt:string,latitude:string,longitude:string
1011231004,user,1011231004,Epps,Louisiana,71237,United States,1975-06-01,2015-12-23,32.6038,-91.4814
1011231005,user,1011231005,University Center,Virginia,20147,United States,1979-08-27,2015-03-03,39.0599,-77.4443
1011231019,user,1011231019,Clarence,Louisiana,71457,United States,1987-01-05,2021-07-12,31.8198,-93.0292
1011231012,user,1011231012,Poteet,Texas,78065,United States,1989-02-04,2015-09-27,29.0373,-98.5728
1011231013,user,1011231013,Panorama Heights,California,93260,United States,1973-09-15,2021-10-19,35.8068,-118.627
1011231008,user,1011231008,Whitlock,Tennessee,38242,United States,1990-01-21,2017-04-21,36.3707,-88.3612
1011231003,user,1011231003,Mission Hill,South Dakota,57046,United States,1989-07-04,2022-03-18,42.9208,-97.2791
1011231000,user,1011231000,New Alexandria,Ohio,43938,United States,1990-05-27,2015-06-08,40.2916,-80.675
1011231016,user,1011231016,Pluckemin,New Jersey,07921,United States,1973-10-05,2023-03-04,40.6454,-74.6355
1011231007,user,1011231007,Jefferson City,Montana,59638,United States,1986-09-25,2019-08-10,46.3779,-112.0305
1011231001,user,1011231001,Pablo,Montana,59864,United States,1975-06-23,2016-12-09,47.6035,-114.1059
1011231010,user,1011231010,South Bloomfield,Ohio,43103,United States,1976-06-09,2021-08-27,39.7168,-82.993
1011231015,user,1011231015,Braden,Tennessee,38049,United States,1970-02-06,2023-10-04,35.3685,-89.5718
1011231018,user,1011231018,Tallulah,Louisiana,71284,United States,1975-07-19,2022-06-03,32.4068,-91.1916
1011231002,user,1011231002,Charlevoix,Michigan,49720,United States,1971-04-04,2015-09-26,45.3137,-85.2558
1011231009,user,1011231009,Tiger Point,Florida,32563,United States,1996-01-09,2019-11-09,30.3757,-87.0573
1011231022,user,1011231022,Hiram,Ohio,44234,United States,1984-05-16,2018-01-15,41.3115,-81.1429
1011231017,user,1011231017,Kensal,North Dakota,58455,United States,1971-09-20,2021-09-04,47.3,-98.7321
1011231014,user,1011231014,Harvel,Illinois,62538,United States,1988-01-02,2015-09-10,39.3577,-89.5322
1011231011,user,1011231011,Shaw Heights,Colorado,80031,United States,1991-12-17,2017-08-27,39.8566,-105.0391
1011231021,user,1011231021,Costa Mesa,California,92627,United States,1993-06-08,2022-05-05,33.6667,-117.9135
1011231006,user,1011231006,Zachary,Louisiana,70791,United States,1996-01-24,2019-11-03,30.6643,-91.1634
1011231020,user,1011231020,Maple Falls,Washington,98244,United States,1973-08-02,2021-01-18,48.9179,-122.0943
2023451007,user,2023451007,Panora,Iowa,50216,United States,1970-02-10,2023-10-08,41.6911,-94.3639
2023451002,user,2023451002,Garrattsville,New York,13315,United States,1976-11-18,2017-03-23,42.6524,-75.1691
2023451015,user,2023451015,Omar,West Virginia,25638,United States,1990-06-06,2022-12-11,37.7583,-81.9974
2023451010,user,2023451010,Carbon Hill,Ohio,43111,United States,1985-01-19,2018-02-16,39.5021,-82.2426
2023451018,user,2023451018,Iatan,Missouri,64098,United States,1976-12-18,2015-12-09,39.4791,-94.9848
2023451014,user,2023451014,Hague,North Dakota,58542,United States,1987-05-15,2020-07-01,46.0289,-99.9991
2023451003,user,2023451003,Bradbury,California,91008,United States,1970-05-01,2021-06-02,34.1536,-117.9684
2023451009,user,2023451009,Cuartelez,New Mexico,87567,United States,1999-04-28,2016-08-20,35.9929,-106.0196
2023451000,user,2023451000,Auburn Lake Trails,California,95614,United States,1973-12-04,2021-10-05,38.8916,-120.9849
2023451013,user,2023451013,Waukesha,Wisconsin,53189,United States,1989-08-12,2017-08-28,43.0087,-88.2464
2023451008,user,2023451008,Novinger,Missouri,63559,United States,1995-06-16,2021-02-07,40.2341,-92.7066
2023451005,user,2023451005,Onalaska,Washington,98532,United States,1986-02-22,2018-02-04,46.5782,-122.7114
2023451004,user,2023451004,Stannards,New York,14895,United States,1996-04-14,2021-07-25,42.0741,-77.9123
2023451006,user,2023451006,Ipswich,South Dakota,57451,United States,1988-11-19,2020-07-09,45.4435,-99.03
2023451020,user,2023451020,Mize,Mississippi,39116,United States,1983-10-14,2017-06-17,31.8665,-89.5542
2023451019,user,2023451019,McKee City,New Jersey,08330,United States,1986-07-10,2017-01-23,39.4465,-74.6445
2023451011,user,2023451011,Hitchcock,Oklahoma,73744,United States,2000-05-19,2017-07-01,35.9676,-98.3497
2023451022,user,2023451022,Williamsburg,Kansas,66095,United States,2000-12-22,2022-08-19,38.4807,-95.4681
2023451017,user,2023451017,Summitville,Ohio,43962,United States,1989-11-06,2022-11-09,40.6759,-80.8876
2023451024,user,2023451024,Corbin City,New Jersey,08330,United States,1990-01-14,2019-05-13,39.3046,-74.7199
2023451016,user,2023451016,Pace,Mississippi,38764,United States,1996-03-15,2015-01-22,33.7922,-90.8594
2023451023,user,2023451023,Dillsboro,North Carolina,28725,United States,1971-08-19,2018-03-23,35.3706,-83.2527
2023451012,user,2023451012,Camanche,Iowa,52730,United States,1999-06-04,2022-03-05,41.7923,-90.277
2023451021,user,2023451021,Umatilla,Florida,32784,United States,1995-07-05,2015-11-03,28.9273,-81.665
2023451001,user,2023451001,Lance Creek,Wyoming,82225,United States,1980-11-06,2021-04-18,43.041,-104.6626
3035671012,user,3035671012,Trumann,Arkansas,72472,United States,1981-12-07,2022-07-24,35.677,-90.5259
3035671011,user,3035671011,Colusa,California,95932,United States,1983-10-10,2021-09-16,39.2059,-122.0125
3035671013,user,3035671013,River Park,Florida,34952,United States,1985-07-12,2016-07-14,27.3214,-80.3308
3035671008,user,3035671008,Hawesville,Kentucky,42348,United States,2000-02-04,2020-10-20,37.8962,-86.7561
3035671019,user,3035671019,Braham,Minnesota,55006,United States,1999-03-04,2017-07-22,45.7223,-93.1717
3035671002,user,3035671002,Cooter,Missouri,63839,United States,1970-02-27,2017-02-25,36.0467,-89.8091
3035671020,user,3035671020,Seneca Gardens,Kentucky,40205,United States,1983-03-09,2023-03-01,38.2272,-85.6773
3035671006,user,3035671006,Dahlgren Center,Virginia,22448,United States,1995-09-16,2017-04-19,38.34,-77.0324
3035671005,user,3035671005,Channelview,Texas,77530,United States,1970-02-19,2018-01-28,29.7914,-95.1144
3035671007,user,3035671007,Courtland,Kansas,66939,United States,1995-11-27,2023-03-25,39.7835,-97.8961
3035671003,user,3035671003,Herrick,South Dakota,57538,United States,1976-01-18,2022-03-28,43.115,-99.1882
3035671000,user,3035671000,Kenton Vale,Kentucky,41015,United States,1994-10-20,2019-09-07,39.0514,-84.5199
3035671010,user,3035671010,Tab,Indiana,47917,United States,1990-10-05,2023-09-01,40.4149,-87.4773
3035671004,user,3035671004,Trego,Wisconsin,54888,United States,1987-11-14,2022-08-14,45.9048,-91.8287
3035671015,user,3035671015,Antonito,Colorado,81120,United States,1989-12-02,2018-06-17,37.0762,-106.0104
3035671001,user,3035671001,Ventana,Arizona,85321,United States,1985-02-02,2017-12-11,32.4681,-112.2434
3035671014,user,3035671014,Chalco,Nebraska,68138,United States,1997-12-14,2020-03-07,41.1817,-96.1353
3035671009,user,3035671009,Fourche,Arkansas,72016,United States,1982-05-06,2023-03-04,34.9933,-92.6189
3035671017,user,3035671017,South Apopka,Florida,32793,United States,1995-12-27,2022-02-02,28.657,-81.5058
3035671021,user,3035671021,Lawrence Creek,Oklahoma,74044,United States,1977-06-22,2023-09-10,36.0838,-96.4267
3035671016,user,3035671016,Frenchburg,Kentucky,40322,United States,1996-12-16,2023-10-10,37.9542,-83.6226
3035671018,user,3035671018,McCoole,Maryland,21562,United States,1992-02-27,2016-01-28,39.4534,-78.9732
4042311023,user,4042311023,Waimanalo,Hawaii,96795,United States,1977-03-15,2021-02-12,21.3421,-157.7303
4042311019,user,4042311019,Mineral,Washington,98355,United States,1988-03-01,2016-02-20,46.7193,-122.186
4042311022,user,4042311022,Port Carbon,Pennsylvania,17965,United States,1978-07-03,2016-01-26,40.6969,-76.1666
4042311018,user,4042311018,Necedah,Wisconsin,54646,United States,1993-07-18,2021-04-22,44.0233,-90.0717
4042311021,user,4042311021,Frazier Park,California,93225,United States,1982-06-09,2020-11-17,34.8118,-118.9549
4042311001,user,4042311001,St. Ann,Missouri,63074,United States,1992-10-25,2015-09-21,38.7266,-90.3872
4042311017,user,4042311017,Ray City,Georgia,31645,United States,1975-03-15,2017-09-10,31.0729,-83.196
4042311004,user,4042311004,Oakland,Arkansas,72661,United States,1984-06-12,2018-03-12,36.4604,-92.5718
4042311003,user,4042311003,Robinson Mill,California,95966,United States,1994-07-10,2015-02-02,39.4857,-121.3202
4042311025,user,4042311025,East Glacier Park Village,Montana,59434,United States,1986-12-25,2016-01-10,48.4459,-113.2235
4042311012,user,4042311012,Proctor,Texas,76446,United States,1991-02-13,2022-07-14,31.9867,-98.4304
4042311015,user,4042311015,Thousand Oaks,California,91359,United States,1983-04-12,2022-04-16,34.1914,-118.8756
4042311016,user,4042311016,Meadville,Missouri,64659,United States,1982-11-16,2021-08-22,39.7882,-93.2992
4042311026,user,4042311026,Tarkio,Missouri,64491,United States,1998-01-27,2018-06-19,40.443,-95.3835
4042311008,user,4042311008,Oasis,Nevada,89835,United States,1997-04-22,2022-05-02,41.0286,-114.4763
4042311002,user,4042311002,Crookston,Nebraska,69212,United States,1976-03-02,2019-07-11,42.9263,-100.7534
4042311014,user,4042311014,Sterling Ranch,Colorado,80125,United States,1977-07-12,2023-04-03,39.4932,-105.0475
4042311000,user,4042311000,Homestead Base,Florida,33033,United States,1987-01-25,2017-01-21,25.4936,-80.391
4042311011,user,4042311011,Inverness,Montana,59530,United States,1983-07-26,2020-10-13,48.5599,-110.7101
4042311006,user,4042311006,Lazy Mountain,Alaska,99645,United States,1975-07-01,2019-08-18,61.6517,-148.902
4042311020,user,4042311020,Chambersburg,Pennsylvania,17201,United States,1976-07-27,2023-12-10,39.9315,-77.6556
4042311007,user,4042311007,Inger,Minnesota,56636,United States,1995-09-09,2020-10-03,47.558,-93.9794
4042311024,user,4042311024,Goodnews Bay,Alaska,99589,United States,1979-06-02,2015-08-13,59.1271,-161.5753
4042311013,user,4042311013,North Laurel,Maryland,20723,United States,1991-02-18,2021-05-11,39.1285,-76.8476
4042311010,user,4042311010,Cresco,Iowa,52136,United States,1970-01-10,2016-06-01,43.3718,-92.1163
4042311009,user,4042311009,Inger,Minnesota,56636,United States,1980-04-07,2019-05-06,47.558,-93.9794
4042311005,user,4042311005,Baiting Hollow,New York,11933,United States,1983-05-23,2016-05-21,40.9582,-72.7395
5056721008,user,5056721008,Divernon,Illinois,62530,United States,1985-02-18,2021-11-21,39.5707,-89.6547
5056721007,user,5056721007,Flat Top Mountain,Tennessee,37379,United States,1970-06-18,2022-12-05,35.3319,-85.2
5056721003,user,5056721003,Dozier,Alabama,36028,United States,1971-03-08,2015-12-10,31.5031,-86.3694
5056721001,user,5056721001,Bangor,California,95966,United States,1992-08-10,2021-09-02,39.3761,-121.4117
5056721006,user,5056721006,Lake Nebagamon,Wisconsin,54849,United States,1983-10-24,2023-09-15,46.512,-91.6995
5056721002,user,5056721002,Federal Dam,Minnesota,56641,United States,1975-08-06,2021-11-12,47.2411,-94.2152
5056721004,user,5056721004,Waycross,Georgia,31503,United States,1981-06-18,2018-06-04,31.2108,-82.3579
5056721009,user,5056721009,Talkeetna,Alaska,99676,United States,1995-10-28,2020-04-17,62.2994,-149.9601
5056721005,user,5056721005,Los Héroes Comunidad,Puerto Rico,00676,United States,1972-06-23,2019-05-18,18.3916,-67.1186
5056721010,user,5056721010,Shields,Michigan,48609,United States,1985-12-19,2019-03-22,43.4211,-84.0747
5056721000,user,5056721000,Graeagle,California,96103,United States,1991-05-04,2019-01-05,39.7572,-120.6486
6068941008,user,6068941008,Odanah,Wisconsin,54806,United States,2000-04-28,2017-08-17,46.5999,-90.6878
6068941007,user,6068941007,Luyando,Puerto Rico,00602,United States,1990-02-10,2023-10-05,18.3575,-67.1553
6068941006,user,6068941006,East Palestine,Ohio,44413,United States,1995-05-02,2017-12-05,40.8392,-80.5467
6068941005,user,6068941005,Gowanda,New York,14070,United States,1997-10-28,2017-01-20,42.4612,-78.9339
6068941004,user,6068941004,Dulac,Louisiana,70353,United States,1980-02-07,2021-12-11,29.3864,-90.7081
6068941003,user,6068941003,Iowa,Louisiana,70647,United States,1996-12-01,2016-07-10,30.2393,-93.013
6068941000,user,6068941000,Questa,New Mexico,87556,United States,1987-10-05,2017-05-05,36.7114,-105.5935
6068941001,user,6068941001,Sebree,Kentucky,42455,United States,1984-04-25,2023-08-15,37.604,-87.5187
6068941009,user,6068941009,Chatsworth,Iowa,51023,United States,1979-09-01,2023-03-05,42.9163,-96.5145
6068941010,user,6068941010,Maunaloa,Hawaii,96770,United States,1994-07-24,2022-11-13,21.1334,-157.2123
6068941002,user,6068941002,Angie,Louisiana,70426,United States,1985-04-20,2023-04-15,30.9633,-89.8177
7072371011,user,7072371011,Gatesville,North Carolina,27938,United States,1972-04-26,2023-02-12,36.4072,-76.7566
7072371015,user,7072371015,Rexford,Montana,59930,United States,1976-02-23,2016-04-28,48.8998,-115.1714
7072371000,user,7072371000,Melvindale,Michigan,48122,United States,1973-12-24,2022-05-13,42.2802,-83.1782
7072371010,user,7072371010,Nabesna,Alaska,99586,United States,1970-02-13,2021-08-21,62.4606,-143.0402
7072371016,user,7072371016,Clitherall,Minnesota,56524,United States,1980-07-05,2017-12-06,46.2743,-95.631
7072371008,user,7072371008,South Williamsport,Pennsylvania,17702,United States,1981-10-10,2020-05-09,41.2294,-77.0009
7072371001,user,7072371001,Myersville,Maryland,21773,United States,1979-02-21,2017-01-26,39.5062,-77.569
7072371005,user,7072371005,Frisbee,Missouri,63852,United States,1983-12-17,2020-09-14,36.3516,-90.0299
7072371007,user,7072371007,Wedderburn,Oregon,97444,United States,1987-12-10,2016-05-27,42.4328,-124.4232
7072371003,user,7072371003,West Leipsic,Ohio,45856,United States,1979-06-15,2020-09-06,41.1053,-84.0011
7072371012,user,7072371012,Lauderdale-by-the-Sea,Florida,33062,United States,1976-04-16,2022-10-08,26.1991,-80.0971
7072371009,user,7072371009,Newbury,Kansas,66526,United States,1998-11-28,2017-10-25,39.0846,-96.174
7072371017,user,7072371017,Cass City,Michigan,48726,United States,2000-07-26,2017-06-23,43.6007,-83.1767
7072371006,user,7072371006,Porters Neck,North Carolina,28411,United States,1984-03-02,2022-04-03,34.2942,-77.7695
7072371013,user,7072371013,Falls Creek,Pennsylvania,15840,United States,1990-05-27,2021-07-23,41.1421,-78.8067
7072371014,user,7072371014,North Hobbs,New Mexico,88241,United States,1973-01-27,2022-03-18,32.7731,-103.125
7072371002,user,7072371002,Wheatley Heights,New York,11798,United States,1971-04-05,2022-11-13,40.7624,-73.3705
7072371004,user,7072371004,Olympia Heights,Florida,33165,United States,1982-07-27,2018-11-21,25.724,-80.3388
7072371018,user,7072371018,Mulberry Grove,Illinois,62262,United States,1986-09-10,2023-10-11,38.9245,-89.2662
9098611006,user,9098611006,Wilmont,Minnesota,56185,United States,1987-11-06,2019-05-11,43.765,-95.8269
9098611003,user,9098611003,Simpsonville,Kentucky,40067,United States,1988-05-20,2023-06-10,38.2167,-85.3515
9098611016,user,9098611016,Grant City,Missouri,64456,United States,1998-03-27,2019-12-21,40.4858,-94.4135
9098611002,user,9098611002,Toppers,Oklahoma,74467,United States,1993-09-04,2020-03-19,35.9656,-95.3201
9098611017,user,9098611017,West Easton,Pennsylvania,18042,United States,1997-06-27,2022-12-13,40.6781,-75.2357
9098611001,user,9098611001,Tetonia,Idaho,83452,United States,1982-01-09,2020-09-26,43.8147,-111.1586
9098611007,user,9098611007,Sunbury,North Carolina,27979,United States,1993-04-15,2015-03-17,36.4469,-76.6127
9098611005,user,9098611005,La Follette,Tennessee,37766,United States,1987-11-28,2023-04-25,36.3718,-84.1256
9098611015,user,9098611015,Apple Mountain Lake,Virginia,22642,United States,1998-06-19,2017-03-07,38.9231,-78.1033
